joint0_x,joint0_y,joint0_z,joint1_x,joint1_y,joint1_z,joint2_x,joint2_y,joint2_z,joint3_x,joint3_y,joint3_z,joint4_x,joint4_y,joint4_z,joint5_x,joint5_y,joint5_z,joint6_x,joint6_y,joint6_z,joint7_x,joint7_y,joint7_z,joint8_x,joint8_y,joint8_z,joint9_x,joint9_y,joint9_z,joint10_x,joint10_y,joint10_z,joint11_x,joint11_y,joint11_z
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
